ExperimentName	Subject	Session	SessionTime	Cooccurrences	testWait.RESP	testWait.RT	Picture	sound	TestList.Sample
5_1	32	1	15:28:22	6	3	646	11	11	46
5_1	32	1	15:28:22	4	2	307	15	4	47
5_1	32	1	15:28:22	3	1	21	1	13	48
5_1	32	1	15:28:22	6	0	241	17	17	49
5_1	32	1	15:28:22	0	1	5	16	3	50
5_1	32	1	15:28:22	0	3	2991	9	8	51
5_1	32	1	15:28:22	3	2	185	8	10	52
5_1	32	1	15:28:22	1	1	69	4	1	53
5_1	32	1	15:28:22	0	2	3	13	7	54
5_1	32	1	15:28:22	2	1	1431	12	11	55
5_1	32	1	15:28:22	1	2	1078	2	16	56
5_1	32	1	15:28:22	6	2	1573	2	2	57
5_1	32	1	15:28:22	6	2	54	8	8	58
5_1	32	1	15:28:22	3	3	579	7	5	59
5_1	32	1	15:28:22	6	1	102	9	9	60
5_1	32	1	15:28:22	4	4	673	14	5	61
5_1	32	1	15:28:22	6	2	337	12	12	62
5_1	32	1	15:28:22	1	2	1973	5	17	63
5_1	32	1	15:28:22	4	2	40	10	11	64
5_1	32	1	15:28:22	3	2	79	12	15	65
5_1	32	1	15:28:22	6	2	169	3	3	66
5_1	32	1	15:28:22	0	2	2744	11	15	67
5_1	32	1	15:28:22	0	2	488	17	13	68
5_1	32	1	15:28:22	2	3	438	16	13	69
5_1	32	1	15:28:22	2	3	1014	6	3	70
5_1	32	1	15:28:22	6	3	47	6	6	71
5_1	32	1	15:28:22	1	2	38	10	9	72
5_1	35	1	16:16:54	1	5	5524	7	1	1
5_1	35	1	16:16:54	6	3	821	14	14	2
5_1	35	1	16:16:54	1	2	3657	2	14	3
5_1	35	1	16:16:54	4	5	4079	10	11	4
5_1	35	1	16:16:54	6	3	1215	12	12	5
5_1	35	1	16:16:54	6	0	3777	5	5	6
5_1	35	1	16:16:54	0	1	537	13	7	7
5_1	35	1	16:16:54	1	3	627	3	14	8
5_1	35	1	16:16:54	0	0	3430	15	5	9
5_1	35	1	16:16:54	6	6	536	2	2	10
5_1	35	1	16:16:54	0	4	2314	16	3	11
5_1	35	1	16:16:54	0	3	664	5	2	12
5_1	35	1	16:16:54	1	4	968	4	11	13
5_1	35	1	16:16:54	1	0	246	8	16	14
5_1	35	1	16:16:54	2	0	483	5	18	15
5_1	35	1	16:16:54	1	0	1192	5	17	16
5_1	35	1	16:16:54	3	0	793	6	9	17
5_1	35	1	16:16:54	0	0	1760	18	8	18
5_1	35	1	16:16:54	0	2	548	14	4	19
5_1	35	1	16:16:54	1	6	838	10	9	20
5_1	35	1	16:16:54	3	6	1916	7	5	21
5_1	35	1	16:16:54	4	0	1753	4	12	22
5_1	35	1	16:16:54	6	3	1014	16	16	23
5_1	35	1	16:16:54	3	0	1519	17	6	24
5_1	35	1	16:16:54	3	0	120	1	13	25
5_1	35	1	16:16:54	2	0	2415	13	2	26
5_1	35	1	16:16:54	6	0	14	11	11	27
5_1	35	1	16:16:54	0	0	579	9	8	28
5_1	35	1	16:16:54	3	0	409	8	10	29
5_1	35	1	16:16:54	1	0	598	6	12	30
5_1	35	1	16:16:54	4	0	358	15	4	31
5_1	35	1	16:16:54	2	0	311	6	3	32
5_1	35	1	16:16:54	2	0	96	18	14	33
5_1	35	1	16:16:54	6	0	198	18	18	34
5_1	35	1	16:16:54	0	0	662	13	7	35
5_1	35	1	16:16:54	1	0	526	2	16	36
5_1	35	1	16:16:54	2	0	229	18	4	37
5_1	35	1	16:16:54	6	6	120	6	6	38
5_1	35	1	16:16:54	0	0	271	7	17	39
5_1	35	1	16:16:54	2	0	63	3	10	40
5_1	35	1	16:16:54	0	0	164	11	15	41
5_1	35	1	16:16:54	0	0	1736	3	12	42
5_1	35	1	16:16:54	2	0	288	10	6	43
5_1	35	1	16:16:54	2	0	504	17	9	44
5_1	35	1	16:16:54	2	0	1137	11	8	45
5_1	35	1	16:16:54	6	6	37	17	17	46
5_1	35	1	16:16:54	6	6	982	10	10	47
5_1	35	1	16:16:54	1	0	944	1	18	48
5_1	35	1	16:16:54	3	0	480	12	15	49
5_1	35	1	16:16:54	6	6	312	15	15	50
5_1	35	1	16:16:54	2	0	448	15	17	51
5_1	35	1	16:16:54	4	3	1127	14	5	52
5_1	35	1	16:16:54	1	0	293	4	1	53
5_1	35	1	16:16:54	3	0	336	2	18	54
5_1	35	1	16:16:54	6	0	229	3	3	55
5_1	35	1	16:16:54	1	0	94	9	15	56
5_1	35	1	16:16:54	6	0	51	1	1	57
5_1	35	1	16:16:54	0	6	2272	12	2	58
5_1	35	1	16:16:54	0	6	503	1	3	59
5_1	35	1	16:16:54	6	6	400	8	8	60
5_1	35	1	16:16:54	1	0	158	8	6	61
5_1	35	1	16:16:54	0	0	6	17	13	62
5_1	35	1	16:16:54	6	0	349	9	9	63
5_1	35	1	16:16:54	6	6	87	13	13	64
5_1	35	1	16:16:54	2	0	23	16	13	65
5_1	35	1	16:16:54	4	0	99	16	1	66
5_1	35	1	16:16:54	4	0	6	11	7	67
5_1	35	1	16:16:54	1	0	4	9	10	68
5_1	35	1	16:16:54	3	0	75	14	16	69
5_1	35	1	16:16:54	2	6	309	12	11	70
5_1	35	1	16:16:54	6	6	120	4	4	71
5_1	35	1	16:16:54	6	0	189	7	7	72
5_1	39	1	09:54:09	2	2	6747	18	14	1
5_1	39	1	09:54:09	6	3	2977	15	15	2
5_1	39	1	09:54:09	6	4	1767	2	2	3
5_1	39	1	09:54:09	3	3	1216	6	9	4
5_1	39	1	09:54:09	6	4	1620	16	16	5
5_1	39	1	09:54:09	6	5	1318	17	17	6
5_1	39	1	09:54:09	4	0	6826	15	4	7
5_1	39	1	09:54:09	0	0	2982	11	15	8
5_1	39	1	09:54:09	1	0	709	10	9	9
5_1	39	1	09:54:09	0	0	1062	14	4	10
5_1	39	1	09:54:09	1	5	2847	3	14	11
5_1	39	1	09:54:09	0	1	2417	16	3	12
5_1	39	1	09:54:09	2	0	503	17	9	13
5_1	39	1	09:54:09	4	0	177	10	11	14
5_1	39	1	09:54:09	6	4	1483	9	9	15
5_1	39	1	09:54:09	6	6	336	10	10	16
5_1	39	1	09:54:09	6	6	417	1	1	17
5_1	39	1	09:54:09	6	6	360	13	13	18
5_1	39	1	09:54:09	1	0	2439	8	16	19
5_1	39	1	09:54:09	0	0	1763	1	3	20
5_1	39	1	09:54:09	6	0	3728	3	3	21
